runway,method,epoch,train_rmse,test_rmse,train_r2,test_r2,train_mae,test_mae,best_params,cv_score,timestamp
RWY 09 (BEG),hyperparameter_tuning,300,33.66137088660495,48.68809241299074,0.9979317393527493,0.9965079888572198,9.310847069956997,13.269572915583897,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 0.2, 'colsample_bytree': 0.9}",0.9961980133979309,2025-07-18 23:33:34
RWY 09 (BEG),fixed_params,10,271.2690041811871,305.2636239605825,0.8656795874692698,0.8627285524134043,204.91436838172794,228.63912206933063,"{'n_estimators': 10, 'method': 'fixed'}",N/A,2025-07-18 23:33:34
RWY 09 (BEG),fixed_params,25,85.49316359523478,102.0345250658784,0.9866585065657708,0.9846635657574766,54.53039722821617,61.91178966764282,"{'n_estimators': 25, 'method': 'fixed'}",N/A,2025-07-18 23:33:34
RWY 09 (BEG),fixed_params,20,114.55972085072,133.031504363927,0.9760444821139079,0.973930115523413,80.14747636280241,90.34049457254176,"{'n_estimators': 20, 'method': 'fixed'}",N/A,2025-07-18 23:33:34
RWY 09 (TDZ),hyperparameter_tuning,200,29.2514986617095,36.49659484085576,0.9978456808365934,0.9974542665164963,7.989951448946225,11.422355077284754,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.9966712406435937,2025-07-18 23:34:43
RWY 09 (TDZ),fixed_params,10,230.05684902345578,264.7300629760113,0.8667448090238766,0.8660586203590321,154.7755114886562,175.32761743898956,"{'n_estimators': 10, 'method': 'fixed'}",N/A,2025-07-18 23:34:43
RWY 09 (TDZ),fixed_params,25,70.58784239097834,81.89919173499582,0.9874549147665622,0.9871806066531107,40.045777217667165,46.40398467676032,"{'n_estimators': 25, 'method': 'fixed'}",N/A,2025-07-18 23:34:43
RWY 09 (TDZ),fixed_params,20,95.76294838801559,110.22944906217631,0.9769108035240189,0.9767777917363156,59.58103843931095,68.14795483119987,"{'n_estimators': 20, 'method': 'fixed'}",N/A,2025-07-18 23:34:44
RWY 10 (TDZ),hyperparameter_tuning,200,24.983292510080872,72.56302604835953,0.9988699346415615,0.9936364477991922,7.646374535579796,16.270052742791503,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.9}",0.9953491890153695,2025-07-18 23:35:43
RWY 10 (TDZ),fixed_params,10,268.39309397744216,345.26580125636156,0.8695791909303128,0.8559292003228303,214.62883220476135,267.0795148230876,"{'n_estimators': 10, 'method': 'fixed'}",N/A,2025-07-18 23:35:43
RWY 10 (TDZ),fixed_params,25,77.11993532293894,118.27351389613094,0.9892319384386283,0.9830938841889998,53.9817667495503,69.50333134082403,"{'n_estimators': 25, 'method': 'fixed'}",N/A,2025-07-18 23:35:43
RWY 10 (TDZ),fixed_params,20,107.89500755374968,152.5038882818483,0.9789230912189799,0.9718919528485622,81.729158691816,103.7456542646143,"{'n_estimators': 20, 'method': 'fixed'}",N/A,2025-07-18 23:35:43
RWY 11 (BEG),hyperparameter_tuning,200,24.069726008567066,80.13659740281663,0.9987484337265675,0.9896883904569937,6.358709335193991,12.918039528155036,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.9}",0.9969177565598576,2025-07-18 23:36:53
RWY 11 (BEG),fixed_params,10,248.02303763355553,292.78958097822994,0.8671089898766632,0.8623501002864522,177.94191460124506,205.04872784856167,"{'n_estimators': 10, 'method': 'fixed'}",N/A,2025-07-18 23:36:53
RWY 11 (BEG),fixed_params,25,74.96147022818738,107.5032131772961,0.9878608647585148,0.9814430091630153,45.83970047635223,55.78209726913545,"{'n_estimators': 25, 'method': 'fixed'}",N/A,2025-07-18 23:36:53
